TABLE 2,,,,,,,
CONGO (KINSHASA): STRUCTURE OF THE MINERAL INDUSTRY IN 2007,,,,,,,
,,,,,,,
(Metric tons unless otherwise specified),,,,,,,
,,,,,,,
,,,Major operating companies,,,,
Commodity,,, and major equity owners,,Location of main facilities,,Annual capacity
Cement,,,Cimenterie de Lukala [Enterprise Malta ,,Lukala plant near Kinshasa,,"360,000."
,,,"Forrest SPRL (EGMF), 80%]",,,,
Do.,,,Interlacs [Enterprise Malta Forrest SPRL,,Kabimba plant near Lubumbashi,,"50,000."
,,,"(EGMF), 98.7%]",,,,
Do.,,,do. ,,Katana plant in Sud-Kivu Province1,,NA.
Do.,,,Cimenterie Nationale SARL,,"Kimpese plant, 40 kilometers south of Kinshasa",,"318,000."
Do.,,,Cemenkat [Enterprise Malta Forrest SPRL ,,"Lubudi plant, between Likasi and Kolwezi, ",,"200,000."
,,,"(EGMF), and La Générale des Carrières",,Katanga Province,,
,,,et des Mines (Gécamines)],,,,
Coal,,,La Générale des Carrières et des Mines ,,Luena Mine,,"800,000 bituminous."
,,,(Gécamines),,,,
Copper and cobalt,,,,,,,
Mine,,,do. ,,Kamfundwa Mine,,"400,000 copper in ore;"
,,,,,,,"48,000 cobalt in ore."
Do.,,,do. ,,Kamoya Central Mine,,"79,000 copper in ore;"
,,,,,,,"7,000 cobalt in ore."
Do.,,,do. ,,Kamoya South Mine,,"36,000 copper in ore;"
,,,,,,,"11,000 cobalt in ore."
Do.,,,do. ,,Shangalowe Mine,,NA.
Do.,,,do. ,,Kambove concentrator,,"700,000 concentrates;"
,,,,,,,"130,000e copper;"
,,,,,,,"39,000e cobalt."
Do.,,,First Quantum Minerals Ltd.,,Frontier Mine,,"84,000 copper."
Do.,,,do. ,,Lonshi Mine in Katanga Province,,"50,000 copper."
Do.,,,Anvil Mining Ltd.,,Kinsevere Mine,,"26,000 copper."
Do.,,,do. ,,Dikulushi Mine ,,"20,000 copper."
Do.,,,do. ,,Kulu Mine,,"16,500 copper."
Do.,,,Katanga Mining Ltd.,,Kambove and KOV Mines,,"31,000e copper;"
,,,,,,,"1,600e cobalt."
Do.,,,Nikanor plc,,Kananga Mine,,"14,000e copper in ore;"
,,,,,,,"7,000e cobalt in ore."
Do.,,,do. ,,Tilwezembe Mine,,"13,000e copper in ore;"
,,,,,,,"4,000e cobalt in ore."
Do.,,,Central African Mining and Exploration ,,Mukondo Mountain,,"30,000e copper;"
,,,Company plc (CAMEC),,,,"8,000e cobalt."
Do.,,,Compagnie Minière du Sud Katanga ,,Luiswishi Mine near Lubumbashi,,"12,000 copper; "
,,,"[Enterprise Malta Forrest SPRL (EGMF), ",,,,"4,500 cobalt."
,,,"60%, and La Générale des Carrières et",,,,
,,,"des Mines (Gécamines), 40%]",,,,
Do.,,,"Ruashi Mining SPRL (Metorex Ltd., 80%)",,Ruashi tailings project,,"10,000 copper;"
,,,,,,,"1,000 cobalt."
Do.,,,TEAL Exploration and Mining Inc.,,Kalumines,,"10,000 copper"
Do.,,,La Société pour le Traitement du Terril de ,,Big Hill plant at Lubumbashi,,"2,500 copper;"
,,,"Lubumbashi (STL) [OM Group Inc., 55%; ",,,,"5,000 cobalt."
,,,Enterprise Generale Malta Forrest SPRL ,,,,
,,,"(EGMF), 25%; La Générale des Carrières ",,,,
,,,"et des Mines (Gécamines), 20%]",,,,
Refined,,,Katanga Mining Ltd.,,Luilu plant,,"175,000 copper; "
,,,,,,,"8,000 cobalt."
Do.,,,La Générale des Carrières et des Mines ,,Shituru plant,,"50,000 copper; "
,,,(Gécamines),,,,"6,000 cobalt."
Do.,,,do. ,,Fonderie Electrique de Panda cobalt plant,,"1,200 cobalt."
Do.,,,Central African Mining and Exploration ,,Luita plant,,"30,000 copper."
,,,Company plc (CAMEC),,,,
See footnote at end of table.,,,,,,,
,,,,,,,
,,,,,,,
TABLE 2—Continued,,,,,,,
CONGO (KINSHASA): STRUCTURE OF THE MINERAL INDUSTRY IN 2007,,,,,,,
,,,,,,,
(Metric tons unless otherwise specified),,,,,,,
,,,,,,,
,,,Major operating companies,,,,
Commodity,,, and major equity owners,,Location of main facilities,,Annual capacity
Diamond,carats,,Société Minière de Bakwanga (MIBA),,Mines at Mbuji Mayi in Kasai Oriental ,,"10,000,000."
,,,"[Government, 80%, and Sibeka Group, ",,Province ,,
,,,"20%, which was owned by Mwana ",,,,
,,,Africa plc],,,,
